method,path,protocol,status,size,referrer,user_agent,malicious
0,89,1,200,0.02422790136975539,1,407,0
1,89,1,200,0.0004493013731926668,1,407,0
0,89,1,200,0.02422790136975539,1,192,0
1,89,1,200,0.0004493013731926668,1,192,0
0,89,1,200,0.02422790136975539,1,183,0
1,89,1,200,0.0004493013731926668,1,183,0
0,89,1,200,0.02422790136975539,1,233,0
1,89,1,200,0.0004493013731926668,1,233,0
0,89,1,200,0.02422790136975539,1,128,0
0,89,1,200,0.02422790136975539,1,435,0
1,89,1,200,0.0004493013731926668,1,435,0
0,89,1,200,0.02422790136975539,1,100,0
1,89,1,200,0.0004493013731926668,1,100,0
0,89,1,200,0.02422790136975539,1,296,0
1,89,1,200,0.0004493013731926668,1,296,0
0,89,1,200,0.02422790136975539,1,368,0
1,89,1,200,0.0004493013731926668,1,368,0
0,89,1,200,0.02422790136975539,1,322,0
1,89,1,200,0.0004493013731926668,1,322,0
0,89,1,200,0.02422790136975539,1,159,0
1,89,1,200,0.0004493013731926668,1,159,0
0,89,1,200,0.02422790136975539,1,495,0
1,89,1,303,0.0,1,495,0
0,89,1,200,0.02422790136975539,1,539,0
1,89,1,200,0.0004493013731926668,1,539,0
0,0,0,200,0.025683834234800477,14,12,0
0,89,1,200,0.02422790136975539,1,509,0
1,89,1,200,0.0004493013731926668,1,509,0
0,89,1,200,0.02422790136975539,1,511,0
1,89,1,303,0.0,1,511,0
0,89,1,200,0.02422790136975539,1,496,0
1,89,1,200,0.0004493013731926668,1,496,0
0,89,1,200,0.02422790136975539,1,238,0
1,89,1,200,0.0004493013731926668,1,238,0
0,89,1,200,0.02422790136975539,1,458,0
1,89,1,303,0.0,1,458,0
0,89,1,200,0.02422790136975539,1,470,0
1,89,1,200,0.0004493013731926668,1,470,0
0,89,1,200,0.02422790136975539,1,338,0
1,89,1,200,0.0004493013731926668,1,338,0
0,89,1,200,0.02422790136975539,1,410,0
1,89,1,200,0.0004493013731926668,1,410,0
0,89,1,200,0.02422790136975539,1,459,0
1,89,1,303,0.0,1,459,0
0,89,1,200,0.02422790136975539,1,492,0
1,89,1,200,0.0004493013731926668,1,492,0
0,98,1,404,0.0005769717087446814,13,30,1
0,89,1,200,0.02422790136975539,1,434,0
1,89,1,200,0.0004493013731926668,1,434,0
0,89,1,200,0.02422790136975539,1,523,0
1,89,1,200,0.0004493013731926668,1,523,0
0,89,1,200,0.02422790136975539,1,477,0
1,89,1,303,0.0,1,477,0
0,89,1,200,0.02422790136975539,1,302,0
1,89,1,200,0.0004493013731926668,1,302,0
0,89,1,200,0.02422790136975539,1,173,0
1,89,1,200,0.0004493013731926668,1,173,0
0,89,1,200,0.02422790136975539,1,133,0
1,89,1,200,0.0004493013731926668,1,133,0
0,89,1,200,0.02422790136975539,1,208,0
1,89,1,200,0.0004493013731926668,1,208,0
0,89,1,200,0.02422790136975539,1,410,0
1,89,1,200,0.0004493013731926668,1,410,0
0,89,1,200,0.02422790136975539,1,349,0
1,89,1,200,0.0004493013731926668,1,349,0
0,89,1,200,0.02422790136975539,1,451,0
1,89,1,303,0.0,1,451,0
0,89,1,200,0.02422790136975539,1,86,0
0,89,1,200,0.02422790136975539,1,519,0
1,89,1,200,0.0004493013731926668,1,86,0
0,89,1,200,0.02422790136975539,1,279,0
1,89,1,200,0.0004493013731926668,1,279,0
0,89,1,200,0.02422790136975539,1,154,0
1,89,1,200,0.0004493013731926668,1,154,0
1,89,1,200,0.0004493013731926668,1,519,0
0,89,1,200,0.02422790136975539,1,129,0
1,89,1,200,0.0004493013731926668,1,129,0
0,89,1,200,0.02422790136975539,1,434,0
1,89,1,200,0.0004493013731926668,1,434,0
